App,Description of the offer,Applicable Credit Card,Applicable Debit Card,Coupon Code/Link
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Flipkart Axis Bank SuperElite Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Airtel Axis Bank Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Samsung Axis Bank Infinite Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Samsung Axis Bank Signature Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank SpiceJet Voyage Black Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Atlas Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,SpiceJet Axis Bank Voyage Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Select Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Privilege Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Vistara Infinite Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Magnus Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Vistara Signature Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank Vistara Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Axis Bank MY Zone Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,Flipkart Axis Bank Credit Card,,AXISWEDCC
Bigbasket,10% discount up to Rs. 250 on orders above Rs. 1500,IndianOil Axis Bank Credit Card,,AXISWEDCC
Bigbasket,Up to 5% NeuCoins with no minimum value of order ,Tata Neu HDFC Bank Credit Card,,Auto-applied 
JioMart,10% discount  up to Rs. 300 on orders above 1500,BOB Assure Credit Card,,Auto-applied 
